Country Code,le_1990,le_2023,gdp_1990,gdp_2023,pop_1990,pop_2023,Country,OWID Region,Color
ECU,68.445,77.392,9093.61180260214,14472.3165053895,10473673,17980083,Ecuador,South America,red
NLD,76.8780487804878,81.9146341463415,43128.3126671388,70673.9689450138,14951510,17877117,Netherlands,Europe,blue
KHM,55.205,70.668,2646.09798836687,6690.58942585792,7374752,17423880,Cambodia,Asia,green
ZWE,58.319,62.775,4013.29905875289,3442.25132658294,10137281,16340822,Zimbabwe,Africa,yellow
GIN,47.252,60.74,2105.74729496232,3949.34013510824,6434374,14405468,Guinea,Africa,yellow
BEN,53.02,60.774,2207.06796428357,3721.2245272339,5281479,14111034,Benin,Africa,yellow
RWA,47.763,67.785,1122.032403267,3060.02893126731,7375307,13954471,Rwanda,Africa,yellow
BDI,45.184,63.651,1396.07762688916,828.861074309521,5587052,13689450,Burundi,Africa,yellow
BOL,56.797,68.581,5124.48798003521,9843.97014174079,7130142,12244159,Bolivia,South America,red
TUN,69.092,76.508,6705.20028070929,12552.9866903456,8324509,12200431,Tunisia,Africa,yellow
BEL,76.0519512195122,82.3975609756098,41658.4327142657,62933.096004294,9967379,11787423,Belgium,Europe,blue
HTI,53.215,64.936,3946.36564580421,2956.46213701659,6854441,11637398,Haiti,North America,cyan
JOR,70.094,77.814,7589.82020149345,9362.58776056423,3621908,11439213,Jordan,Asia,green
DOM,67.746,73.72,7283.26514448824,23087.9343626862,7151166,11331265,Dominican Republic,North America,cyan
CZE,71.3839024390244,79.8780487804878,27918.1375199844,47495.2305648524,10333355,10864042,Czechia,Europe,blue
HND,65.183,72.884,4427.04022067658,6468.30192068321,4980488,10644851,Honduras,North America,cyan
PRT,73.9658536585366,82.2804878048781,27190.5424495409,41535.8364332382,9983218,10578174,Portugal,Europe,blue
SWE,77.5368292682927,83.309756097561,40205.3940604047,62721.8455255166,8558835,10536632,Sweden,Europe,blue
ARE,71.074,82.909,108057.042463812,68577.5405661277,1898220,10483751,United Arab Emirates,Asia,green
GRC,76.9390243902439,81.5365853658537,26916.3124020232,36854.50424993,10196792,10405588,Greece,Europe,blue
TJK,61.636,71.79,4173.04607982249,4472.3241378777,5398768,10389799,Tajikistan,Asia,green
PNG,59.778,66.134,3164.14887342728,4174.44164016586,3896481,10389635,Papua New Guinea,Oceania,magenta
AZE,62.75,74.429,10612.9666645849,21262.2979971542,7175200,10153958,Azerbaijan,Asia,green
ISR,76.6073170731707,83.1951219512195,25163.0438070531,48338.215819693,4660000,9756600,Israel,Asia,green
HUN,69.3156097560976,76.7707317073171,21268.6008265842,40204.2912222856,10373988,9592186,Hungary,Europe,blue
TGO,54.557,62.739,2171.19605672473,2767.51655834427,3998761,9304337,Togo,Africa,yellow
BLR,70.8365853658537,74.1837804878049,12351.635710338,27718.3231175409,10189348,9178298,Belarus,Europe,blue
AUT,75.5682926829269,81.5414634146342,43310.9138981204,64394.0904537356,7677850,9131761,Austria,Europe,blue
CHE,77.2424390243902,84.0560975609756,63963.1812149831,81757.6877903506,6715519,8888093,Switzerland,Europe,blue
SLE,43.72,61.786,2438.67405538764,3034.21894320278,4196828,8460512,Sierra Leone,Africa,yellow
LAO,54.035,68.964,2005.50049410401,8372.15591874407,4311955,7664993,Laos,Asia,green
HKG,77.3707317073171,85.2473170731707,31598.8941926887,64467.5756817829,5704500,7536100,Hong Kong,Asia,green
TKM,63.867,70.073,7925.49803469938,17866.4041809169,3760562,7364438,Turkmenistan,Asia,green
LBY,69.312,69.339,18121.8156548641,12478.1434623596,4445239,7305659,Libya,Africa,yellow
